,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,asnm,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,accepted,gender
259,None,15,Existing_credits_paid_till_now,used_car,3812,100_to_500DM,<1yr,1,female_divorced/separated/married,None,4,car_or_other_nonsavings,23,385,none,own,1,skilled_employee/official,1,yes,yes,0,female
260,None,11,Critical_acct_other_credits_existing,radio/television,1154,100_to_500DM,unemployed,4,female_divorced/separated/married,None,4,real_estate,57,249,none,own,3,unskilled_resident,1,none,yes,0,female
261,<0DM,12,Existing_credits_paid_till_now,furniture/equipment,1657,<100DM,1_to_4yrs,2,male_single,None,2,real_estate,27,249,none,own,1,skilled_employee/official,1,none,yes,0,male
262,<0DM,24,Existing_credits_paid_till_now,radio/television,1603,<100DM,>7yrs,4,female_divorced/separated/married,None,4,car_or_other_nonsavings,55,193,none,own,1,skilled_employee/official,1,none,yes,0,female
263,<0DM,18,Critical_acct_other_credits_existing,new_car,5302,<100DM,>7yrs,2,male_single,None,4,unknown/no_property,36,60,none,for_free,3,management_self-employed_highly_qualified/officer,1,yes,yes,0,male
264,None,12,Critical_acct_other_credits_existing,education,2748,<100DM,>7yrs,2,female_divorced/separated/married,None,4,unknown/no_property,57,249,bank,for_free,3,unskilled_resident,1,none,yes,0,female
265,None,10,Critical_acct_other_credits_existing,new_car,1231,<100DM,>7yrs,3,male_single,None,4,real_estate,32,124,none,own,2,unskilled_resident,2,none,no,0,male
266,0_to_200DM,15,Existing_credits_paid_till_now,radio/television,802,<100DM,>7yrs,4,male_single,None,3,car_or_other_nonsavings,37,49,none,own,1,skilled_employee/official,2,none,yes,1,male
267,None,36,Critical_acct_other_credits_existing,business,6304,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,4,real_estate,36,60,none,own,2,skilled_employee/official,1,none,yes,0,male
268,None,24,Existing_credits_paid_till_now,radio/television,1533,<100DM,<1yr,4,female_divorced/separated/married,None,3,car_or_other_nonsavings,38,40,stores,own,1,skilled_employee/official,1,yes,yes,0,female
269,<0DM,14,Existing_credits_paid_till_now,new_car,8978,<100DM,>7yrs,1,male_divorced/separated,None,4,building_society_savings_agreement/life_insurance,35,193,none,own,1,management_self-employed_highly_qualified/officer,1,yes,no,1,male
270,None,24,Existing_credits_paid_till_now,radio/television,999,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,2,car_or_other_nonsavings,25,313,none,own,2,skilled_employee/official,1,none,yes,0,male
271,None,18,Existing_credits_paid_till_now,new_car,2662,Unknown_or_no_savings_acct,4_to_7yrs,4,male_single,None,3,building_society_savings_agreement/life_insurance,32,124,none,own,1,skilled_employee/official,1,none,no,0,male
272,None,12,Critical_acct_other_credits_existing,furniture/equipment,1402,500_to_1000DM,4_to_7yrs,3,female_divorced/separated/married,None,4,car_or_other_nonsavings,37,49,none,rent,1,skilled_employee/official,1,yes,yes,0,female
273,0_to_200DM,48,All_credits_paid_duly,new_car,12169,Unknown_or_no_savings_acct,unemployed,4,male_single,co-applicant,4,unknown/no_property,36,60,none,for_free,1,management_self-employed_highly_qualified/officer,1,yes,yes,0,male
274,0_to_200DM,48,Existing_credits_paid_till_now,radio/television,3060,<100DM,4_to_7yrs,4,male_single,None,4,real_estate,28,220,none,own,2,skilled_employee/official,1,none,yes,1,male
275,<0DM,30,Existing_credits_paid_till_now,repairs,11998,<100DM,<1yr,1,male_divorced/separated,None,1,unknown/no_property,34,88,none,own,1,unskilled_resident,1,yes,yes,1,male
276,None,9,Existing_credits_paid_till_now,radio/television,2697,<100DM,1_to_4yrs,1,male_single,None,2,real_estate,32,124,none,own,1,skilled_employee/official,2,none,yes,0,male
277,None,18,Critical_acct_other_credits_existing,radio/television,2404,<100DM,1_to_4yrs,2,female_divorced/separated/married,None,2,car_or_other_nonsavings,26,280,none,own,2,skilled_employee/official,1,none,yes,0,female
278,<0DM,12,Existing_credits_paid_till_now,furniture/equipment,1262,Unknown_or_no_savings_acct,>7yrs,2,male_divorced/separated,None,4,building_society_savings_agreement/life_insurance,49,73,none,own,1,unskilled_resident,1,yes,yes,0,male
279,None,6,Existing_credits_paid_till_now,furniture/equipment,4611,<100DM,<1yr,1,female_divorced/separated/married,None,4,building_society_savings_agreement/life_insurance,32,124,none,own,1,skilled_employee/official,1,none,yes,1,female
280,None,24,Existing_credits_paid_till_now,radio/television,1901,100_to_500DM,1_to_4yrs,4,male_single,None,4,car_or_other_nonsavings,35,193,none,rent,1,management_self-employed_highly_qualified/officer,1,yes,yes,0,male
281,None,15,Critical_acct_other_credits_existing,used_car,3368,>1000DM,>7yrs,3,male_single,None,4,unknown/no_property,23,385,none,rent,2,skilled_employee/official,1,yes,yes,0,male
282,None,12,Existing_credits_paid_till_now,furniture/equipment,1574,<100DM,1_to_4yrs,4,male_single,None,2,real_estate,50,88,none,own,1,skilled_employee/official,1,none,yes,0,male
283,>200DM,18,All_credits_paid_duly,radio/television,1445,Unknown_or_no_savings_acct,4_to_7yrs,4,male_single,None,4,car_or_other_nonsavings,49,73,bank,own,1,unskilled_resident,1,none,yes,0,male
284,None,15,Critical_acct_other_credits_existing,furniture/equipment,1520,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,4,building_society_savings_agreement/life_insurance,63,465,none,own,1,skilled_employee/official,1,none,yes,0,male
285,0_to_200DM,24,Critical_acct_other_credits_existing,new_car,3878,100_to_500DM,<1yr,4,male_divorced/separated,None,2,car_or_other_nonsavings,37,49,none,own,1,skilled_employee/official,1,yes,yes,0,male
286,<0DM,47,Existing_credits_paid_till_now,new_car,10722,<100DM,<1yr,1,female_divorced/separated/married,None,1,real_estate,35,73,none,own,1,unskilled_resident,1,yes,yes,0,female
287,<0DM,48,Existing_credits_paid_till_now,used_car,4788,<100DM,4_to_7yrs,4,male_single,None,3,building_society_savings_agreement/life_insurance,26,280,none,own,1,skilled_employee/official,2,none,yes,0,male
288,0_to_200DM,48,Delay_in_past,other,7582,100_to_500DM,unemployed,2,male_single,None,4,unknown/no_property,31,145,none,for_free,1,management_self-employed_highly_qualified/officer,1,yes,yes,0,male
289,0_to_200DM,12,Existing_credits_paid_till_now,radio/television,1092,<100DM,1_to_4yrs,4,female_divorced/separated/married,guarantor,4,real_estate,49,73,none,own,2,skilled_employee/official,1,yes,yes,0,female
290,<0DM,24,Delay_in_past,radio/television,1024,<100DM,<1yr,4,male_married/widowed,None,4,real_estate,48,60,stores,own,1,skilled_employee/official,1,none,yes,1,male
291,None,12,Existing_credits_paid_till_now,business,1076,<100DM,1_to_4yrs,2,male_married/widowed,None,2,real_estate,26,280,none,own,1,skilled_employee/official,1,yes,no,0,male
292,0_to_200DM,36,Existing_credits_paid_till_now,used_car,9398,<100DM,<1yr,1,male_married/widowed,None,4,car_or_other_nonsavings,28,220,none,rent,1,management_self-employed_highly_qualified/officer,1,yes,yes,1,male
293,<0DM,24,Critical_acct_other_credits_existing,used_car,6419,<100DM,>7yrs,2,female_divorced/separated/married,None,4,unknown/no_property,44,28,none,for_free,2,management_self-employed_highly_qualified/officer,2,yes,yes,0,female
294,>200DM,42,Critical_acct_other_credits_existing,used_car,4796,<100DM,>7yrs,4,male_single,None,4,unknown/no_property,56,220,none,for_free,1,skilled_employee/official,1,none,yes,0,male
295,None,48,Critical_acct_other_credits_existing,business,7629,Unknown_or_no_savings_acct,>7yrs,4,male_divorced/separated,None,2,car_or_other_nonsavings,46,40,bank,own,2,management_self-employed_highly_qualified/officer,2,none,yes,0,male
296,0_to_200DM,48,Existing_credits_paid_till_now,furniture/equipment,9960,<100DM,<1yr,1,female_divorced/separated/married,None,2,car_or_other_nonsavings,26,280,none,own,1,skilled_employee/official,1,yes,yes,1,female
297,None,12,Existing_credits_paid_till_now,used_car,4675,Unknown_or_no_savings_acct,<1yr,1,female_divorced/separated/married,None,4,car_or_other_nonsavings,20,508,none,rent,1,skilled_employee/official,1,none,yes,0,female
298,None,10,Existing_credits_paid_till_now,new_car,1287,Unknown_or_no_savings_acct,>7yrs,4,male_single,co-applicant,2,building_society_savings_agreement/life_insurance,45,33,none,own,1,unskilled_resident,1,none,no,0,male
299,None,18,Existing_credits_paid_till_now,furniture/equipment,2515,<100DM,1_to_4yrs,3,male_single,None,4,real_estate,43,25,none,own,1,skilled_employee/official,1,yes,yes,0,male
300,0_to_200DM,21,Critical_acct_other_credits_existing,furniture/equipment,2745,>1000DM,4_to_7yrs,3,male_single,None,2,car_or_other_nonsavings,32,124,none,own,2,skilled_employee/official,1,yes,yes,0,male
301,None,6,Existing_credits_paid_till_now,new_car,672,<100DM,unemployed,1,female_divorced/separated/married,None,4,real_estate,54,168,none,own,1,unemployed/unskilled_nonresident,1,yes,yes,0,female
302,0_to_200DM,36,No_credits_taken_or_all_paid,radio/television,3804,<100DM,1_to_4yrs,4,female_divorced/separated/married,None,1,car_or_other_nonsavings,42,24,none,own,1,skilled_employee/official,1,yes,yes,1,female
303,>200DM,24,Critical_acct_other_credits_existing,new_car,1344,Unknown_or_no_savings_acct,4_to_7yrs,4,male_single,None,2,real_estate,37,49,bank,own,2,unskilled_resident,2,none,yes,1,male
304,<0DM,10,Critical_acct_other_credits_existing,new_car,1038,<100DM,4_to_7yrs,4,male_single,co-applicant,3,building_society_savings_agreement/life_insurance,49,73,none,own,2,skilled_employee/official,1,yes,yes,0,male
305,None,48,Critical_acct_other_credits_existing,new_car,10127,500_to_1000DM,1_to_4yrs,2,male_single,None,2,unknown/no_property,44,28,bank,for_free,1,skilled_employee/official,1,none,yes,1,male
306,None,6,Existing_credits_paid_till_now,furniture/equipment,1543,>1000DM,1_to_4yrs,4,male_divorced/separated,None,2,real_estate,33,105,none,own,1,skilled_employee/official,1,none,yes,0,male
307,None,30,Existing_credits_paid_till_now,used_car,4811,Unknown_or_no_savings_acct,4_to_7yrs,2,female_divorced/separated/married,None,4,building_society_savings_agreement/life_insurance,24,348,stores,rent,1,unskilled_resident,1,none,yes,0,female
308,<0DM,12,Existing_credits_paid_till_now,radio/television,727,100_to_500DM,<1yr,4,male_married/widowed,None,3,unknown/no_property,33,105,none,own,1,unskilled_resident,1,yes,yes,1,male
309,0_to_200DM,8,Existing_credits_paid_till_now,furniture/equipment,1237,<100DM,1_to_4yrs,3,female_divorced/separated/married,None,4,real_estate,24,348,none,own,1,skilled_employee/official,1,none,yes,1,female
310,0_to_200DM,9,Existing_credits_paid_till_now,new_car,276,<100DM,1_to_4yrs,4,male_married/widowed,None,4,real_estate,22,424,none,rent,1,unskilled_resident,1,none,yes,0,male
311,0_to_200DM,48,Existing_credits_paid_till_now,other,5381,Unknown_or_no_savings_acct,unemployed,3,male_single,None,4,unknown/no_property,40,28,bank,for_free,1,unemployed/unskilled_nonresident,1,yes,yes,0,male
312,None,24,Existing_credits_paid_till_now,furniture/equipment,5511,100_to_500DM,1_to_4yrs,4,male_single,None,1,car_or_other_nonsavings,25,313,stores,own,1,skilled_employee/official,1,none,yes,0,male
313,>200DM,24,Existing_credits_paid_till_now,furniture/equipment,3749,<100DM,<1yr,2,female_divorced/separated/married,None,4,car_or_other_nonsavings,26,280,none,own,1,skilled_employee/official,1,none,yes,0,female
314,0_to_200DM,12,Existing_credits_paid_till_now,new_car,685,<100DM,4_to_7yrs,2,male_married/widowed,None,3,car_or_other_nonsavings,25,313,bank,own,1,unskilled_resident,1,none,yes,1,male
315,>200DM,4,Existing_credits_paid_till_now,new_car,1494,Unknown_or_no_savings_acct,<1yr,1,male_single,None,2,real_estate,29,193,none,own,1,unskilled_resident,2,none,no,0,male
316,<0DM,36,All_credits_paid_duly,furniture/equipment,2746,<100DM,>7yrs,4,male_single,None,4,car_or_other_nonsavings,31,145,bank,own,1,skilled_employee/official,1,none,yes,1,male
317,<0DM,12,Existing_credits_paid_till_now,furniture/equipment,708,<100DM,1_to_4yrs,2,male_single,guarantor,3,building_society_savings_agreement/life_insurance,38,40,none,own,1,unskilled_resident,2,none,yes,0,male
318,0_to_200DM,24,Existing_credits_paid_till_now,furniture/equipment,4351,Unknown_or_no_savings_acct,1_to_4yrs,1,female_divorced/separated/married,None,4,building_society_savings_agreement/life_insurance,48,60,none,own,1,unskilled_resident,1,yes,yes,0,female
319,None,12,Critical_acct_other_credits_existing,education,701,<100DM,1_to_4yrs,4,male_single,None,2,car_or_other_nonsavings,32,124,none,own,2,skilled_employee/official,1,none,yes,0,male
320,<0DM,15,Delay_in_past,furniture/equipment,3643,<100DM,>7yrs,1,female_divorced/separated/married,None,4,building_society_savings_agreement/life_insurance,27,249,none,own,2,unskilled_resident,1,none,yes,0,female
321,0_to_200DM,30,Critical_acct_other_credits_existing,new_car,4249,<100DM,unemployed,4,male_married/widowed,None,2,car_or_other_nonsavings,28,220,none,own,2,management_self-employed_highly_qualified/officer,1,none,yes,1,male
322,<0DM,24,Existing_credits_paid_till_now,radio/television,1938,<100DM,<1yr,4,male_divorced/separated,None,3,building_society_savings_agreement/life_insurance,32,124,none,own,1,skilled_employee/official,1,none,yes,1,male
323,<0DM,24,Existing_credits_paid_till_now,used_car,2910,<100DM,4_to_7yrs,2,male_single,None,1,unknown/no_property,34,88,none,for_free,1,management_self-employed_highly_qualified/officer,1,yes,yes,0,male
324,<0DM,18,Existing_credits_paid_till_now,furniture/equipment,2659,>1000DM,1_to_4yrs,4,male_single,None,2,car_or_other_nonsavings,28,220,none,own,1,skilled_employee/official,1,none,yes,0,male
325,None,18,Critical_acct_other_credits_existing,new_car,1028,<100DM,1_to_4yrs,4,female_divorced/separated/married,None,3,real_estate,36,60,none,own,2,skilled_employee/official,1,none,yes,0,female
326,<0DM,8,Critical_acct_other_credits_existing,new_car,3398,<100DM,4_to_7yrs,1,male_single,None,4,real_estate,39,33,none,own,2,unskilled_resident,1,none,no,0,male
327,None,12,Critical_acct_other_credits_existing,furniture/equipment,5801,Unknown_or_no_savings_acct,>7yrs,2,male_single,None,4,building_society_savings_agreement/life_insurance,49,73,none,rent,1,skilled_employee/official,1,yes,yes,0,male
328,None,24,Existing_credits_paid_till_now,new_car,1525,>1000DM,4_to_7yrs,4,female_divorced/separated/married,None,3,car_or_other_nonsavings,34,88,none,own,1,skilled_employee/official,2,yes,yes,0,female
329,>200DM,36,Existing_credits_paid_till_now,radio/television,4473,<100DM,>7yrs,4,male_single,None,2,car_or_other_nonsavings,31,145,none,own,1,skilled_employee/official,1,none,yes,0,male
330,0_to_200DM,6,Existing_credits_paid_till_now,radio/television,1068,<100DM,>7yrs,4,male_single,None,4,car_or_other_nonsavings,28,220,none,own,1,skilled_employee/official,2,none,yes,0,male
331,<0DM,24,Critical_acct_other_credits_existing,used_car,6615,<100DM,unemployed,2,male_single,None,4,unknown/no_property,75,1113,none,for_free,2,management_self-employed_highly_qualified/officer,1,yes,yes,0,male
332,None,18,Critical_acct_other_credits_existing,education,1864,100_to_500DM,1_to_4yrs,4,female_divorced/separated/married,None,2,real_estate,30,168,none,own,2,skilled_employee/official,1,none,yes,1,female
333,0_to_200DM,60,Existing_credits_paid_till_now,new_car,7408,100_to_500DM,<1yr,4,female_divorced/separated/married,None,2,building_society_savings_agreement/life_insurance,24,348,none,own,1,management_self-employed_highly_qualified/officer,1,none,yes,1,female
334,None,48,Critical_acct_other_credits_existing,used_car,11590,100_to_500DM,1_to_4yrs,2,female_divorced/separated/married,None,4,car_or_other_nonsavings,24,348,bank,rent,2,unskilled_resident,1,none,yes,1,female
335,<0DM,24,No_credits_taken_or_all_paid,furniture/equipment,4110,<100DM,>7yrs,3,male_single,None,4,unknown/no_property,23,385,bank,rent,2,skilled_employee/official,2,none,yes,1,male
336,<0DM,6,Critical_acct_other_credits_existing,furniture/equipment,3384,<100DM,1_to_4yrs,1,male_divorced/separated,None,4,real_estate,44,28,none,rent,1,management_self-employed_highly_qualified/officer,1,yes,yes,1,male
337,0_to_200DM,13,Existing_credits_paid_till_now,radio/television,2101,<100DM,<1yr,2,female_divorced/separated/married,guarantor,4,building_society_savings_agreement/life_insurance,35,193,none,own,1,unskilled_resident,1,none,yes,0,female
338,<0DM,15,Existing_credits_paid_till_now,domestic_appliances,1275,Unknown_or_no_savings_acct,1_to_4yrs,4,female_divorced/separated/married,None,2,car_or_other_nonsavings,24,348,none,rent,1,skilled_employee/official,1,none,yes,1,female
339,<0DM,24,Existing_credits_paid_till_now,furniture/equipment,4169,<100DM,1_to_4yrs,4,male_single,None,4,building_society_savings_agreement/life_insurance,28,220,none,own,1,skilled_employee/official,1,none,yes,0,male
340,0_to_200DM,10,Existing_credits_paid_till_now,furniture/equipment,1521,<100DM,1_to_4yrs,4,male_divorced/separated,None,2,car_or_other_nonsavings,35,193,none,own,1,unskilled_resident,1,none,yes,0,male
341,0_to_200DM,24,Critical_acct_other_credits_existing,education,5743,<100DM,<1yr,2,female_divorced/separated/married,None,4,unknown/no_property,24,348,none,for_free,2,skilled_employee/official,1,yes,yes,0,female
342,<0DM,21,Existing_credits_paid_till_now,furniture/equipment,3599,<100DM,4_to_7yrs,1,female_divorced/separated/married,None,4,car_or_other_nonsavings,26,280,none,rent,1,unskilled_resident,1,none,yes,0,female
343,0_to_200DM,18,Existing_credits_paid_till_now,radio/television,3213,500_to_1000DM,<1yr,1,male_married/widowed,None,3,real_estate,35,193,none,rent,1,skilled_employee/official,1,none,yes,0,male
344,0_to_200DM,18,Existing_credits_paid_till_now,business,4439,<100DM,>7yrs,1,male_single,co-applicant,1,real_estate,33,105,bank,own,1,management_self-employed_highly_qualified/officer,1,yes,yes,0,male
345,>200DM,10,Existing_credits_paid_till_now,new_car,3949,<100DM,<1yr,1,male_single,guarantor,1,building_society_savings_agreement/life_insurance,37,49,none,own,1,unskilled_resident,2,none,yes,0,male
346,None,15,Critical_acct_other_credits_existing,radio/television,1459,<100DM,1_to_4yrs,4,female_divorced/separated/married,None,2,car_or_other_nonsavings,43,25,none,own,1,unskilled_resident,1,none,yes,0,female
347,0_to_200DM,13,Critical_acct_other_credits_existing,radio/television,882,<100DM,<1yr,4,male_single,guarantor,4,real_estate,23,385,none,own,2,skilled_employee/official,1,none,yes,0,male
348,0_to_200DM,24,Existing_credits_paid_till_now,radio/television,3758,500_to_1000DM,unemployed,1,female_divorced/separated/married,None,4,unknown/no_property,23,385,none,rent,1,unemployed/unskilled_nonresident,1,none,yes,0,female
349,None,6,Delay_in_past,business,1743,100_to_500DM,1_to_4yrs,1,male_single,None,2,real_estate,34,88,none,own,2,unskilled_resident,1,none,yes,0,male
350,0_to_200DM,9,Critical_acct_other_credits_existing,education,1136,>1000DM,>7yrs,4,male_single,None,3,unknown/no_property,32,124,none,for_free,2,skilled_employee/official,2,none,yes,1,male
351,None,9,Existing_credits_paid_till_now,domestic_appliances,1236,<100DM,<1yr,1,female_divorced/separated/married,None,4,real_estate,23,385,none,rent,1,skilled_employee/official,1,yes,yes,0,female
352,0_to_200DM,9,Existing_credits_paid_till_now,furniture/equipment,959,<100DM,1_to_4yrs,1,female_divorced/separated/married,None,2,car_or_other_nonsavings,29,193,none,own,1,skilled_employee/official,1,none,no,1,female
353,None,18,Critical_acct_other_credits_existing,used_car,3229,Unknown_or_no_savings_acct,unemployed,2,male_single,None,4,unknown/no_property,38,40,none,own,1,management_self-employed_highly_qualified/officer,1,yes,yes,0,male
354,<0DM,12,No_credits_taken_or_all_paid,radio/television,6199,<100DM,1_to_4yrs,4,male_single,None,2,building_society_savings_agreement/life_insurance,28,220,none,rent,2,skilled_employee/official,1,yes,yes,1,male
355,None,10,Existing_credits_paid_till_now,education,727,500_to_1000DM,>7yrs,4,male_single,None,4,unknown/no_property,46,40,none,for_free,1,skilled_employee/official,1,yes,yes,0,male
356,0_to_200DM,24,Existing_credits_paid_till_now,new_car,1246,<100DM,<1yr,4,male_single,None,2,real_estate,23,385,stores,own,1,unskilled_resident,1,none,yes,1,male
357,None,12,Critical_acct_other_credits_existing,radio/television,2331,Unknown_or_no_savings_acct,>7yrs,1,male_single,co-applicant,4,real_estate,49,73,none,own,1,skilled_employee/official,1,yes,yes,0,male
358,None,36,Delay_in_past,radio/television,4463,<100DM,1_to_4yrs,4,male_single,None,2,car_or_other_nonsavings,26,280,none,own,2,management_self-employed_highly_qualified/officer,1,yes,yes,1,male
359,None,12,Existing_credits_paid_till_now,radio/television,776,<100DM,1_to_4yrs,4,male_married/widowed,None,2,real_estate,28,220,none,own,1,skilled_employee/official,1,none,yes,0,male
360,<0DM,30,Existing_credits_paid_till_now,furniture/equipment,2406,<100DM,4_to_7yrs,4,female_divorced/separated/married,None,4,real_estate,23,385,none,rent,1,skilled_employee/official,1,none,yes,1,female
361,0_to_200DM,18,Existing_credits_paid_till_now,education,1239,Unknown_or_no_savings_acct,1_to_4yrs,4,male_single,None,4,unknown/no_property,61,385,none,for_free,1,skilled_employee/official,1,none,yes,0,male
362,>200DM,12,Existing_credits_paid_till_now,radio/television,3399,Unknown_or_no_savings_acct,>7yrs,2,male_single,None,3,car_or_other_nonsavings,37,49,none,own,1,management_self-employed_highly_qualified/officer,1,none,yes,0,male
363,>200DM,12,Delay_in_past,new_car,2247,<100DM,1_to_4yrs,2,female_divorced/separated/married,None,2,car_or_other_nonsavings,36,60,stores,own,2,skilled_employee/official,1,yes,yes,0,female
364,None,6,Existing_credits_paid_till_now,furniture/equipment,1766,<100DM,1_to_4yrs,1,male_married/widowed,None,2,building_society_savings_agreement/life_insurance,21,465,none,rent,1,skilled_employee/official,1,none,yes,0,male
365,<0DM,18,Existing_credits_paid_till_now,furniture/equipment,2473,<100DM,unemployed,4,male_single,None,1,car_or_other_nonsavings,25,313,none,own,1,unemployed/unskilled_nonresident,1,none,yes,1,male
366,None,12,Existing_credits_paid_till_now,business,1542,<100DM,4_to_7yrs,2,male_single,None,4,car_or_other_nonsavings,36,60,none,own,1,skilled_employee/official,1,yes,yes,0,male
367,None,18,Critical_acct_other_credits_existing,used_car,3850,<100DM,4_to_7yrs,3,male_single,None,1,car_or_other_nonsavings,27,249,none,own,2,skilled_employee/official,1,none,yes,0,male
368,<0DM,18,Existing_credits_paid_till_now,furniture/equipment,3650,<100DM,<1yr,1,female_divorced/separated/married,None,4,car_or_other_nonsavings,22,424,none,rent,1,skilled_employee/official,1,none,yes,0,female
369,<0DM,36,Existing_credits_paid_till_now,furniture/equipment,3446,<100DM,>7yrs,4,male_single,None,2,car_or_other_nonsavings,35,193,none,own,1,skilled_employee/official,2,none,yes,1,male
370,0_to_200DM,18,Existing_credits_paid_till_now,furniture/equipment,3001,<100DM,4_to_7yrs,2,female_divorced/separated/married,None,4,real_estate,40,28,none,rent,1,skilled_employee/official,1,none,yes,0,female
371,None,36,Existing_credits_paid_till_now,new_car,3079,Unknown_or_no_savings_acct,1_to_4yrs,4,male_single,None,4,real_estate,36,60,none,own,1,skilled_employee/official,1,none,yes,0,male
372,None,18,Critical_acct_other_credits_existing,radio/television,6070,<100DM,>7yrs,3,male_single,None,4,car_or_other_nonsavings,33,105,none,own,2,skilled_employee/official,1,yes,yes,0,male
373,None,10,Critical_acct_other_credits_existing,furniture/equipment,2146,<100DM,<1yr,1,female_divorced/separated/married,None,3,real_estate,23,385,none,rent,2,skilled_employee/official,1,none,yes,0,female
374,None,60,Critical_acct_other_credits_existing,new_car,13756,Unknown_or_no_savings_acct,>7yrs,2,male_single,None,4,unknown/no_property,63,465,bank,for_free,1,management_self-employed_highly_qualified/officer,1,yes,yes,0,male
375,0_to_200DM,60,All_credits_paid_duly,other,14782,100_to_500DM,>7yrs,3,female_divorced/separated/married,None,4,unknown/no_property,60,348,bank,for_free,2,management_self-employed_highly_qualified/officer,1,yes,yes,1,female
376,<0DM,48,All_credits_paid_duly,business,7685,<100DM,4_to_7yrs,2,female_divorced/separated/married,guarantor,4,car_or_other_nonsavings,37,49,none,rent,1,skilled_employee/official,1,none,yes,1,female
377,None,18,Delay_in_past,radio/television,2320,<100DM,unemployed,2,male_married/widowed,None,3,real_estate,34,88,none,own,2,skilled_employee/official,1,none,yes,0,male
378,None,7,Delay_in_past,radio/television,846,Unknown_or_no_savings_acct,>7yrs,3,male_single,None,4,unknown/no_property,36,60,none,for_free,1,skilled_employee/official,1,none,yes,0,male
379,0_to_200DM,36,Existing_credits_paid_till_now,new_car,14318,<100DM,>7yrs,4,male_single,None,2,unknown/no_property,57,249,none,for_free,1,management_self-employed_highly_qualified/officer,1,yes,yes,1,male
380,None,6,Critical_acct_other_credits_existing,new_car,362,100_to_500DM,1_to_4yrs,4,female_divorced/separated/married,None,4,car_or_other_nonsavings,52,124,none,own,2,unskilled_resident,1,none,yes,0,female
381,<0DM,20,Existing_credits_paid_till_now,furniture/equipment,2212,Unknown_or_no_savings_acct,4_to_7yrs,4,male_single,None,4,car_or_other_nonsavings,39,33,none,own,1,skilled_employee/official,1,yes,yes,0,male
382,0_to_200DM,18,Existing_credits_paid_till_now,used_car,12976,<100DM,unemployed,3,female_divorced/separated/married,None,4,unknown/no_property,35,193,none,for_free,1,management_self-employed_highly_qualified/officer,1,yes,yes,1,female
383,None,22,Existing_credits_paid_till_now,new_car,1283,Unknown_or_no_savings_acct,4_to_7yrs,4,female_divorced/separated/married,None,4,building_society_savings_agreement/life_insurance,25,313,none,rent,1,skilled_employee/official,1,none,yes,0,female
384,>200DM,12,Existing_credits_paid_till_now,new_car,1330,<100DM,<1yr,4,male_single,None,1,real_estate,26,280,none,own,1,skilled_employee/official,1,none,yes,0,male
385,None,30,Delay_in_past,business,4272,100_to_500DM,1_to_4yrs,2,male_single,None,2,building_society_savings_agreement/life_insurance,26,280,none,own,2,unskilled_resident,1,none,yes,0,male
386,None,18,Critical_acct_other_credits_existing,radio/television,2238,<100DM,1_to_4yrs,2,female_divorced/separated/married,None,1,car_or_other_nonsavings,25,313,none,own,2,skilled_employee/official,1,none,yes,0,female
387,None,18,Existing_credits_paid_till_now,radio/television,1126,Unknown_or_no_savings_acct,<1yr,4,female_divorced/separated/married,None,2,real_estate,21,465,none,rent,1,skilled_employee/official,1,yes,yes,0,female
388,0_to_200DM,18,Critical_acct_other_credits_existing,furniture/equipment,7374,<100DM,unemployed,4,male_single,None,4,building_society_savings_agreement/life_insurance,40,28,stores,own,2,management_self-employed_highly_qualified/officer,1,yes,yes,0,male
389,0_to_200DM,15,Critical_acct_other_credits_existing,business,2326,500_to_1000DM,1_to_4yrs,2,male_single,None,4,car_or_other_nonsavings,27,249,bank,own,1,skilled_employee/official,1,none,yes,0,male
390,None,9,Existing_credits_paid_till_now,business,1449,<100DM,4_to_7yrs,3,female_divorced/separated/married,None,2,car_or_other_nonsavings,27,249,none,own,2,skilled_employee/official,1,none,yes,0,female
391,None,18,Existing_credits_paid_till_now,new_car,1820,<100DM,1_to_4yrs,2,male_married/widowed,None,2,building_society_savings_agreement/life_insurance,30,168,none,own,1,management_self-employed_highly_qualified/officer,1,yes,yes,0,male
392,0_to_200DM,12,Existing_credits_paid_till_now,furniture/equipment,983,>1000DM,<1yr,1,female_divorced/separated/married,None,4,real_estate,19,553,none,rent,1,unskilled_resident,1,none,yes,0,female
393,<0DM,36,Existing_credits_paid_till_now,new_car,3249,<100DM,4_to_7yrs,2,male_single,None,4,unknown/no_property,39,33,bank,for_free,1,management_self-employed_highly_qualified/officer,2,yes,yes,0,male
394,<0DM,6,Critical_acct_other_credits_existing,radio/television,1957,<100DM,4_to_7yrs,1,female_divorced/separated/married,None,4,car_or_other_nonsavings,31,145,none,own,1,skilled_employee/official,1,none,yes,0,female
395,None,9,Critical_acct_other_credits_existing,furniture/equipment,2406,<100DM,unemployed,2,male_single,None,3,car_or_other_nonsavings,31,145,none,own,1,management_self-employed_highly_qualified/officer,1,none,yes,0,male
